,0.09,0.092,0.094,0.096,0.098,0.09999999999999999,0.102,0.104,0.106,0.108,0.11
8,83.49,82.23,82.09666666666666,78.73,77.20333333333333,77.17666666666668,76.34666666666666,74.48333333333333,73.10333333333332,71.36,72.32333333333332
12,84.61666666666666,82.28,80.25666666666666,79.19,77.62,75.34333333333333,73.32,71.6,67.71000000000001,65.07333333333334,62.76666666666667
16,82.81666666666668,80.78333333333333,78.67333333333333,76.53,73.34,71.84333333333333,69.35333333333334,66.61,64.96333333333332,62.63333333333333,60.14000000000001
20,82.61333333333334,80.54333333333334,78.12,75.69,72.89999999999999,70.14666666666668,67.23,64.72,62.86000000000001,59.63666666666667,56.88333333333333
